number,name,status
1,PEP Purpose and Guidelines,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
246,Object Adaptation,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
251,Python 2.2 Release Schedule,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
248,Python Database API Specification v1.0,"<dt class=""field-odd"">Status<span class=""colon"">:</span></dt>"
247,API for Cryptographic Hash Functions,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
245,Python Interface Syntax,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
253,Subtyping Built-in Types,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
249,Python Database API Specification v2.0,"<dt class=""field-odd"">Status<span class=""colon"">:</span></dt>"
252,Making Types Look More Like Classes,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
250,Using site-packages on Windows,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
244,The ,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
240,Adding a Rational Literal to Python,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
241,Metadata for Python Software Packages,"<dt class=""field-odd"">Status<span class=""colon"">:</span></dt>"
239,Adding a Rational Type to Python,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
243,Module Repository Upload Mechanism,"<dt class=""field-odd"">Status<span class=""colon"">:</span></dt>"
242,Numeric Kinds,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
8103,2022 Term Steering Council election,"<dt class=""field-odd"">Status<span class=""colon"">:</span></dt>"
8104,2023 Term Steering Council election,"<dt class=""field-odd"">Status<span class=""colon"">:</span></dt>"
8016,The Steering Council Model,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
8101,2020 Term Steering Council election,"<dt class=""field-odd"">Status<span class=""colon"">:</span></dt>"
8015,Organization of the Python community,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
8102,2021 Term Steering Council election,"<dt class=""field-odd"">Status<span class=""colon"">:</span></dt>"
8100,January 2019 Steering Council election,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
8014,The Commons Governance Model,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
8012,The Community Governance Model,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
8013,The External Council Governance Model,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
8001,Python Governance Voting Process,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
8010,The Technical Leader Governance Model,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
8011,Python Governance Model Lead by Trio of Pythonistas,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
8002,Open Source Governance Survey,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
8000,Python Language Governance Proposal Overview,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
3333,Python Web Server Gateway Interface v1.0.1,"<dt class=""field-odd"">Status<span class=""colon"">:</span></dt>"
3155,Qualified name for classes and functions,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
3156,Asynchronous IO Support Rebooted: the “asyncio” Module,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
3148,futures - execute computations asynchronously,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
3150,Statement local namespaces (aka “given” clause),"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
3154,Pickle protocol version 4,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
3147,PYC Repository Directories,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
3149,ABI version tagged .so files,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
3152,Cofunctions,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
3151,Reworking the OS and IO exception hierarchy,"<dt class=""field-odd"">Status<span class=""colon"">:</span></dt>"
3146,Merging Unladen Swallow into CPython,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
3142,Add a “while” clause to generator expressions,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
3144,IP Address Manipulation Library for the Python Standard Library,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
3143,Standard daemon process library,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
3141,A Type Hierarchy for Numbers,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
3145,Asynchronous I/O For subprocess.Popen,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
3153,Asynchronous IO support,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
3140,"str(container) should call str(item), not repr(item)","<dt class=""field-odd"">Status<span class=""colon"">:</span></dt>"
3139,Cleaning out sys and the “interpreter” module,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
3136,Labeled break and continue,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
3137,Immutable Bytes and Mutable Buffer,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
3138,String representation in Python 3000,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
3135,New Super,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
3134,Exception Chaining and Embedded Tracebacks,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
3133,Introducing Roles,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
3132,Extended Iterable Unpacking,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
3131,Supporting Non-ASCII Identifiers,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
3130,Access to Current Module/Class/Function,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
3129,Class Decorators,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
3126,Remove Implicit String Concatenation,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
3127,Integer Literal Support and Syntax,"<dt class=""field-odd"">Status<span class=""colon"">:</span></dt>"
3128,BList: A Faster List-like Type,"<dt class=""field-odd"">Status<span class=""colon"">:</span></dt>"
3125,Remove Backslash Continuation,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
3123,Making PyObject_HEAD conform to standard C,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
3122,Delineation of the main module,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
3124,"Overloading, Generic Functions, Interfaces, and Adaptation","<dt class=""field-odd"">Status<span class=""colon"">:</span></dt>"
3121,Extension Module Initialization and Finalization,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
3120,Using UTF-8 as the default source encoding,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
3117,Postfix type declarations,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
3118,Revising the buffer protocol,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
3119,Introducing Abstract Base Classes,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
3116,New I/O,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
3115,Metaclasses in Python 3000,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
3113,Removal of Tuple Parameter Unpacking,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
3114,Renaming iterator.next() to iterator.__next__(),"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
3112,Bytes literals in Python 3000,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
3109,Raising Exceptions in Python 3000,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
3110,Catching Exceptions in Python 3000,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
3111,Simple input built-in in Python 3000,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
3108,Standard Library Reorganization,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
3105,Make print a function,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
